site1,site2,SxSx,SySy,SzSz,SySz,SzSy,SzSx,SxSz,SxSy,SySx
0,1,-0.21811901870261677,-0.21811901870261688,-0.21811901870261677,0.0,0.0,8.503768182426676e-16,-7.90221516316895e-16,0.0,0.0
0,2,0.06629429503698123,0.0662942950369812,0.06629429503698119,0.0,0.0,6.434739893701469e-17,-5.57822017743792e-17,0.0,0.0
0,3,-0.07289452388125017,-0.07289452388125017,-0.07289452388125009,0.0,0.0,-2.5323574617472366e-16,2.868460135217743e-16,0.0,0.0
0,4,0.03682083430926943,0.036820834309269516,0.03682083430926941,0.0,0.0,-2.5668486433594317e-17,-5.5348520905385e-17,0.0,0.0
0,5,-0.04240098513907224,-0.0424009851390723,-0.04240098513907238,0.0,0.0,3.2523947592196997e-16,-2.627623257324928e-16,0.0,0.0
0,6,0.02479238412054703,0.02479238412054706,0.02479238412054716,0.0,0.0,-2.0426368929626904e-16,9.362085759412331e-17,0.0,0.0
0,7,-0.02934415550128227,-0.02934415550128238,-0.029344155501282422,0.0,0.0,1.5062786901023223e-17,1.7428549922704484e-16,0.0,0.0
0,8,0.018206249537727582,0.018206249537727575,0.018206249537727606,0.0,0.0,-4.1145472445824893e-17,-1.228672111969198e-16,0.0,0.0
0,9,-0.022161672718199875,-0.02216167271819997,-0.022161672718199986,0.0,0.0,-3.1889943431177153e-17,1.0028107765838387e-16,0.0,0.0
0,10,0.013906818739299942,0.01390681873929997,0.01390681873929982,0.0,0.0,4.993936850421904e-17,-9.438996351023021e-17,0.0,0.0
0,11,-0.01757407833423601,-0.017574078334236052,-0.01757407833423595,0.0,0.0,-6.496509771379989e-17,1.2630912957808764e-16,0.0,0.0
0,12,0.010594461037897797,0.010594461037897821,0.01059446103789772,0.0,0.0,-1.415332762555628e-16,1.019522736633166e-16,0.0,0.0
0,13,-0.013393290646910635,-0.013393290646910663,-0.013393290646910692,0.0,0.0,-7.651079205958644e-17,9.281448222833721e-17,0.0,0.0
0,14,0.006799721825895026,0.006799721825895043,0.006799721825895031,0.0,0.0,3.1096273559599874e-17,-5.919066235413051e-17,0.0,0.0
0,15,-0.010423853160418248,-0.010423853160418273,-0.010423853160418262,0.0,0.0,-4.829443052065119e-17,7.695802545573671e-17,0.0,0.0
1,2,-0.09770081685082524,-0.09770081685082524,-0.09770081685082524,0.0,0.0,-4.0549161250957866e-17,2.7538735181131813e-17,0.0,0.0
1,3,0.055301773786043985,0.05530177378604398,0.05530177378604394,0.0,0.0,6.5590843303584e-17,-7.443725540470791e-17,0.0,0.0
1,4,-0.030206822478704914,-0.030206822478704955,-0.030206822478704938,0.0,0.0,2.485533480423019e-17,1.6520530603247874e-17,0.0,0.0
1,5,0.0294988924401512,0.029498892440151234,0.02949889244015126,0.0,0.0,-2.039371580951025e-16,1.5826514157915063e-16,0.0,0.0
1,6,-0.017832417035139863,-0.017832417035139873,-0.017832417035139988,0.0,0.0,1.389405084040174e-16,-5.751692525035601e-17,0.0,0.0
1,7,0.0197475486607129,0.019747548660712957,0.01974754866071301,0.0,0.0,7.792703114739563e-18,-1.5742276731310623e-16,0.0,0.0
1,8,-0.01245376240977045,-0.012453762409770436,-0.01245376240977041,0.0,0.0,1.7814796946652445e-17,9.69886605924064e-17,0.0,0.0
1,9,0.014675837415213177,0.01467583741521323,0.014675837415213252,0.0,0.0,2.7605227267491275e-17,-8.830064365241905e-17,0.0,0.0
1,10,-0.009286483895007715,-0.00928648389500773,-0.009286483895007644,0.0,0.0,-3.9847817970631305e-17,7.682165315122877e-17,0.0,0.0
1,11,0.011537995015263081,0.011537995015263106,0.011537995015263036,0.0,0.0,4.6752089402819514e-17,-9.741254764294798e-17,0.0,0.0
1,12,-0.006983767318587173,-0.006983767318587184,-0.006983767318587123,0.0,0.0,8.801900519745699e-17,-5.591095078236186e-17,0.0,0.0
1,13,0.008774441112698072,0.008774441112698093,0.008774441112698119,0.0,0.0,3.472157457384828e-17,-5.59990422088763e-17,0.0,0.0
1,14,-0.004458194231269113,-0.004458194231269125,-0.00445819423126912,0.0,0.0,-1.2075301696057306e-17,3.630722025110833e-17,0.0,0.0
1,15,0.006821515161060806,0.006821515161060824,0.006821515161060824,0.0,0.0,1.8895610987348932e-17,-4.727460285215701e-17,0.0,0.0
2,3,-0.18957911085515566,-0.18957911085515566,-0.18957911085515575,0.0,0.0,-1.560980077836005e-16,2.0499552576269675e-16,0.0,0.0
2,4,0.062420082631482444,0.06242008263148253,0.06242008263148237,0.0,0.0,-2.7538735181131813e-17,-4.5428071027142636e-17,0.0,0.0
2,5,-0.06694984134911705,-0.0669498413491171,-0.0669498413491171,0.0,0.0,4.242034173473734e-16,-3.322266507038707e-16,0.0,0.0
2,6,0.035520321865236466,0.035520321865236494,0.03552032186523668,0.0,0.0,-2.277366663305802e-16,1.2658060363768264e-16,0.0,0.0
2,7,-0.04095354403005042,-0.0409535440300505,-0.040953544030050526,0.0,0.0,2.996294347617362e-17,1.689220866050306e-16,0.0,0.0
2,8,0.02445300716787714,0.024453007167877086,0.024453007167877096,0.0,0.0,-7.982438494924526e-18,-6.644804064620535e-17,0.0,0.0
2,9,-0.029390154958136155,-0.02939015495813621,-0.029390154958136162,0.0,0.0,-3.840870899324625e-17,2.4811289090972966e-17,0.0,0.0
2,10,0.018107892014863743,0.018107892014863743,0.018107892014863534,0.0,0.0,6.25584653524136e-17,-5.882813225270567e-17,0.0,0.0
2,11,-0.022722219417616853,-0.02272221941761688,-0.022722219417616735,0.0,0.0,-7.540012010749924e-17,9.291199689638987e-17,0.0,0.0
2,12,0.013572326868486114,0.01357232686848612,0.013572326868486001,0.0,0.0,-1.803138327126537e-16,1.6496051351072225e-16,0.0,0.0
2,13,-0.017591846340421796,-0.017591846340421834,-0.017591846340421862,0.0,0.0,-8.807787398729117e-17,9.18454765366783e-17,0.0,0.0
2,14,0.008928126317007687,0.008928126317007708,0.008928126317007692,0.0,0.0,3.497229632623555e-17,-6.223998096424599e-17,0.0,0.0
2,15,-0.013671651072725803,-0.013671651072725836,-0.013671651072725832,0.0,0.0,-5.418977983354112e-17,7.848268476079445e-17,0.0,0.0
3,4,-0.11140763995766541,-0.11140763995766546,-0.11140763995766549,0.0,0.0,5.99563801384484e-17,1.3715157481941631e-17,0.0,0.0
3,5,0.058902232623698626,0.058902232623698696,0.0589022326236989,0.0,0.0,-2.7893218469557737e-16,1.756216937013385e-16,0.0,0.0
3,6,-0.03485497600731224,-0.034854976007312265,-0.034854976007312376,0.0,0.0,2.1131100341742481e-16,-8.538092108323347e-17,0.0,0.0
3,7,0.03280744444245029,0.03280744444245042,0.03280744444245055,0.0,0.0,-6.483528991463317e-17,-2.0597808398151174e-16,0.0,0.0
3,8,-0.020591458518742552,-0.020591458518742535,-0.02059145851874269,0.0,0.0,1.802486111757151e-17,1.1233689759665433e-16,0.0,0.0
3,9,0.022643935385872487,0.022643935385872557,0.022643935385872685,0.0,0.0,1.9319127460976082e-17,-7.754078412344767e-17,0.0,0.0
3,10,-0.014301118090363024,-0.014301118090363038,-0.014301118090362918,0.0,0.0,-4.851127095514829e-17,8.678021951209758e-17,0.0,0.0
3,11,0.01716760814830596,0.017167608148305986,0.017167608148305917,0.0,0.0,4.915692181919288e-17,-1.0658363806066631e-16,0.0,0.0
3,12,-0.010377187718965234,-0.010377187718965248,-0.010377187718965163,0.0,0.0,1.3220574944039845e-16,-9.249853893901136e-17,0.0,0.0
3,13,0.0135723268684863,0.013572326868486454,0.01357232686848642,0.0,0.0,-3.947444584748161e-16,2.981555974335137e-16,0.0,0.0
3,14,-0.006983767318587294,-0.006983767318587382,-0.006983767318587355,0.0,0.0,2.403608453764583e-16,-1.650968858152302e-16,0.0,0.0
3,15,0.01059446103789795,0.010594461037898082,0.010594461037898054,0.0,0.0,-3.7074293288141824e-16,2.6916674184668254e-16,0.0,0.0
4,5,-0.18146833986673322,-0.18146833986673322,-0.181468339866733,0.0,0.0,6.221872043726991e-16,-5.880085779180408e-16,0.0,0.0
4,6,0.06132713091268298,0.06132713091268298,0.06132713091268307,0.0,0.0,-2.9983611080086625e-16,2.6741846584354967e-16,0.0,0.0
4,7,-0.06482439216278953,-0.0648243921627895,-0.06482439216278932,0.0,0.0,8.688525159755711e-17,-4.216868824610809e-17,0.0,0.0
4,8,0.034777935427324484,0.0347779354273244,0.034777935427324394,0.0,0.0,-2.2415879916137804e-17,5.206880933361635e-17,0.0,0.0
4,9,-0.04032759943294454,-0.04032759943294451,-0.040327599432944505,0.0,0.0,5.644458153913207e-17,-1.658177108533436e-16,0.0,0.0
4,10,0.023801192066724753,0.023801192066724697,0.023801192066724507,0.0,0.0,1.6008922703106276e-17,2.701018662204513e-17,0.0,0.0
4,11,-0.029321686843162748,-0.02932168684316272,-0.029321686843162532,0.0,0.0,-1.5392282717505146e-17,-1.7244320256676673e-17,0.0,0.0
4,12,0.017167608109813437,0.01716760810981342,0.017167608109813264,0.0,0.0,-2.5972317151774435e-16,2.6972832469071215e-16,0.0,0.0
4,13,-0.02272221941761691,-0.022722219417617037,-0.02272221941761713,0.0,0.0,4.745243741943305e-16,-2.5162087786078334e-16,0.0,0.0
4,14,0.01153799501526314,0.011537995015263217,0.011537995015263255,0.0,0.0,-3.0865118268294175e-16,1.4983102276510275e-16,0.0,0.0
4,15,-0.0175740783342361,-0.017574078334236208,-0.01757407833423627,0.0,0.0,4.738751234402601e-16,-2.587723770344514e-16,0.0,0.0
5,6,-0.11628684508710904,-0.11628684508710904,-0.11628684508710956,0.0,0.0,2.4053025196590916e-16,-2.185751579730777e-16,0.0,0.0
5,7,0.06004504258423039,0.06004504258423038,0.06004504258423041,0.0,0.0,-6.434739893701469e-17,-5.773376568485311e-18,0.0,0.0
5,8,-0.03636513633258467,-0.036365136332584654,-0.036365136332584716,0.0,0.0,1.633079522306291e-17,6.2680438096818225e-18,0.0,0.0
5,9,0.03403240004796021,0.034032400047960217,0.03403240004796032,0.0,0.0,7.901038628693388e-17,9.845402759115635e-17,0.0,0.0
5,10,-0.02123572076087841,-0.02123572076087838,-0.021235720760878294,0.0,0.0,-8.546223624616989e-17,9.193695609498176e-18,0.0,0.0
5,11,0.023801192043729325,0.02380119204372932,0.0238011920437292,0.0,0.0,9.446757290402239e-17,-5.923407279267729e-18,0.0,0.0
5,12,-0.014301117954111488,-0.014301117954111478,-0.01430111795411135,0.0,0.0,1.4291478699253457e-16,-1.8291083572893538e-16,0.0,0.0
5,13,0.018107892014863604,0.018107892014863847,0.01810789201486385,0.0,0.0,9.595189226496714e-18,-2.09576279941448e-16,0.0,0.0
5,14,-0.009286483895007662,-0.00928648389500781,-0.009286483895007766,0.0,0.0,3.526367566009103e-17,9.576215688478218e-17,0.0,0.0
5,15,0.013906818739299841,0.013906818739300063,0.013906818739299992,0.0,0.0,-5.705613932704967e-17,-1.341158087364569e-16,0.0,0.0
6,7,-0.17858876332658863,-0.17858876332658863,-0.17858876332658796,0.0,0.0,4.4096535234058876e-17,-5.8106460181645e-18,0.0,0.0
6,8,0.06069529702644269,0.06069529702644261,0.06069529702644255,0.0,0.0,7.356311740314148e-17,-3.9654694458657325e-17,0.0,0.0
6,9,-0.06424487820867672,-0.06424487820867662,-0.06424487820867675,0.0,0.0,3.484524138414741e-17,8.721051224930276e-18,0.0,0.0
6,10,0.03403240005272112,0.03403240005272104,0.0340324000527208,0.0,0.0,4.835202876106448e-17,-8.763741685471893e-17,0.0,0.0
6,11,-0.040327599426359,-0.040327599426358954,-0.04032759942635873,0.0,0.0,-8.110298118312563e-17,1.340675278584634e-16,0.0,0.0
6,12,0.02264393533541726,0.022643935335417226,0.022643935335417018,0.0,0.0,-2.7186200068484573e-16,2.242536668514705e-16,0.0,0.0
6,13,-0.029390154958136128,-0.029390154958136294,-0.029390154958136336,0.0,0.0,-7.500092936132605e-17,2.499040082511479e-16,0.0,0.0
6,14,0.014675837415213243,0.01467583741521334,0.014675837415213335,0.0,0.0,-1.2462203847050409e-17,-1.1030513025398728e-16,0.0,0.0
6,15,-0.02216167271819994,-0.02216167271820008,-0.022161672718200076,0.0,0.0,3.092645668856519e-17,1.4499117576616518e-16,0.0,0.0
7,8,-0.11761131256495727,-0.11761131256495716,-0.11761131256495701,0.0,0.0,-1.9786689647860456e-17,-3.5019730171281793e-17,0.0,0.0
7,9,0.06069529702657797,0.060695297026577846,0.060695297026577784,0.0,0.0,-9.169809280385605e-17,3.804279076003239e-17,0.0,0.0
7,10,-0.0363651363332898,-0.036365136333289715,-0.0363651363332895,0.0,0.0,-7.948557177034354e-18,4.095573706563993e-17,0.0,0.0
7,11,0.03477793542629296,0.03477793542629288,0.03477793542629258,0.0,0.0,-1.561071133877835e-17,-5.711850212779127e-17,0.0,0.0
7,12,-0.0205914585106326,-0.02059145851063255,-0.020591458510632304,0.0,0.0,2.2960013881453967e-16,-1.7637851763971021e-16,0.0,0.0
7,13,0.024453007167877093,0.02445300716787724,0.02445300716787736,0.0,0.0,1.0206069388056516e-16,-2.333939993852917e-16,0.0,0.0
7,14,-0.012453762409770454,-0.012453762409770548,-0.012453762409770596,0.0,0.0,-2.0626099298589468e-17,9.23930833370782e-17,0.0,0.0
7,15,0.018206249537727662,0.0182062495377278,0.018206249537727773,0.0,0.0,2.078025929498975e-17,-1.357895458402314e-16,0.0,0.0
8,9,-0.17858876332659043,-0.17858876332659046,-0.17858876332659052,0.0,0.0,1.127062039616572e-16,-1.421727861307398e-16,0.0,0.0
8,10,0.06004504258422186,0.06004504258422194,0.06004504258422158,0.0,0.0,-2.9278540854792146e-17,1.5912191540529835e-16,0.0,0.0
8,11,-0.0648243921627816,-0.06482439216278162,-0.0648243921627813,0.0,0.0,1.148136219344259e-16,-1.623592753297043e-16,0.0,0.0
8,12,0.032807444442468595,0.03280744444246864,0.03280744444246837,0.0,0.0,-1.8984380040221183e-16,4.336808689942018e-18,0.0,0.0
8,13,-0.04095354402996343,-0.04095354402996348,-0.04095354402996342,0.0,0.0,1.5199159205531165e-16,-4.671556110696917e-17,0.0,0.0
8,14,0.01974754866066496,0.019747548660665026,0.019747548660665082,0.0,0.0,-7.52216079138654e-17,1.3688899460576748e-16,0.0,0.0
8,15,-0.029344155501335727,-0.02934415550133581,-0.029344155501335848,0.0,0.0,1.1379718239772074e-16,-1.3523050409504356e-16,0.0,0.0
9,10,-0.11628684508710874,-0.11628684508710874,-0.11628684508710893,0.0,0.0,-6.395437564948869e-17,9.22791574056725e-17,0.0,0.0
9,11,0.061327130912682805,0.06132713091268278,0.06132713091268267,0.0,0.0,5.673087867530402e-17,-9.825582188149884e-17,0.0,0.0
9,12,-0.034854976007312286,-0.034854976007312286,-0.034854976007312174,0.0,0.0,-2.291732342091235e-17,7.45931094670027e-17,0.0,0.0
9,13,0.03552032186523663,0.035520321865236626,0.03552032186523647,0.0,0.0,3.2173699468507344e-17,-8.917562868693274e-17,0.0,0.0
9,14,-0.017832417035139915,-0.017832417035139905,-0.01783241703513987,0.0,0.0,-2.6834003769016235e-17,6.818276412218216e-17,0.0,0.0
9,15,0.024792384120547187,0.024792384120547174,0.024792384120547052,0.0,0.0,5.141828803012505e-17,-1.116999288203191e-16,0.0,0.0
10,11,-0.1814683398667328,-0.1814683398667328,-0.18146833986673255,0.0,0.0,-1.0014639941977044e-16,1.0514728194035983e-16,0.0,0.0
10,12,0.05890223262369881,0.05890223262369881,0.0589022326236989,0.0,0.0,4.735930614688244e-17,-4.9422678406393916e-17,0.0,0.0
10,13,-0.06694984134911733,-0.06694984134911733,-0.06694984134911722,0.0,0.0,-5.93465164164253e-17,6.313444775654653e-17,0.0,0.0
10,14,0.029498892440151307,0.029498892440151296,0.029498892440151324,0.0,0.0,4.2741282518451995e-17,-4.663085781224374e-17,0.0,0.0
10,15,-0.04240098513907241,-0.04240098513907241,-0.04240098513907235,0.0,0.0,-8.298890004018733e-17,8.798978256077672e-17,0.0,0.0
11,12,-0.11140763995766571,-0.11140763995766571,-0.11140763995766576,0.0,0.0,8.836247705756861e-18,-3.0357660829594124e-18,0.0,0.0
11,13,0.06242008263148259,0.06242008263148259,0.06242008263148228,0.0,0.0,-2.596664203102783e-17,1.5964876989849053e-17,0.0,0.0
11,14,-0.030206822478705042,-0.030206822478705028,-0.030206822478704994,0.0,0.0,-5.319366908757006e-18,1.2034644114589099e-17,0.0,0.0
11,15,0.03682083430926961,0.03682083430926958,0.03682083430926947,0.0,0.0,2.835188681049594e-17,-3.3420531966865674e-17,0.0,0.0
12,13,-0.1895791108551545,-0.1895791108551545,-0.18957911085515466,0.0,0.0,4.554326750796922e-17,-4.3273219209327696e-17,0.0,0.0
12,14,0.05530177378604375,0.05530177378604372,0.05530177378604378,0.0,0.0,-1.311207002349657e-17,2.5682038960750386e-17,0.0,0.0
12,15,-0.07289452388124978,-0.07289452388124978,-0.07289452388124976,0.0,0.0,4.486564115016578e-17,-4.7840420860922883e-17,0.0,0.0
13,14,-0.09770081685082523,-0.09770081685082523,-0.09770081685082524,0.0,0.0,1.4121733296623695e-17,-1.860761978528247e-17,0.0,0.0
13,15,0.0662942950369812,0.0662942950369812,0.06629429503698121,0.0,0.0,-2.837899186480808e-17,3.3854212835859876e-17,0.0,0.0
14,15,-0.2181190187026172,-0.2181190187026172,-0.21811901870261724,0.0,0.0,-3.107608948172802e-17,4.833508391487273e-17,0.0,0.0
